CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
440.6,52.09,22.89,2.89,5.43,9.58,Lynwood,65
323.77,22.96,63.66,1.61,8.29,12.23,Poinciana,64
417.23,44.55,21.64,1.71,4.67,8.35,Milpitas,55
393.87,39.07,55.79,5.31,8.88,16.72,Miami Beach,48
323.77,12.34,78.68,0.53,3.89,6.4,Toms River,109
230.31,8.05,50.78,2.12,3.55,5.72,Cambridge,43
253.68,2.27,108.72,1.91,11.59,19.12,Longview,184
260.35,13.88,84.4,1.42,5.02,11.25,Boca Raton,123
393.87,21.59,37.19,0.51,19.23,22.86,Winston-Salem,57
310.42,11.65,71.53,0.63,2.86,5.72,Suffolk,89
243.66,5.66,85.83,2.03,2.42,3.34,Fort Collins,127
303.75,7.63,84.4,2.24,17.81,19.32,Asheville,123
247.0,1.25,78.68,0.06,0.5,0.79,Eugene,109
230.31,1.52,78.68,0.23,4.18,11.04,Bryan,109
423.91,54.84,32.9,8.23,4.36,8.69,Tustin,68
423.91,54.84,32.9,8.23,4.36,8.69,Santa Ana,68
267.03,14.05,68.67,8.46,5.72,13.84,Missouri City,80
420.57,52.78,4.69,3.93,14.47,16.18,Salt Lake City,65
947.95,105.56,0.0,12.76,33.0,52.92,East Orange,114
277.04,11.65,84.4,2.53,5.62,9.76,McKinney,123
310.42,8.82,80.82,1.77,17.94,20.11,Kalamazoo,114
300.41,8.05,79.39,0.98,8.3,12.83,New Orleans,110
347.14,19.36,43.27,0.47,10.47,13.6,Town 'n' Country,36
367.17,16.45,61.51,1.33,6.81,9.96,Norwalk,57
263.69,12.68,66.52,6.44,5.73,13.53,The Woodlands,73
263.69,5.83,90.84,0.81,6.01,9.5,Arlington,139
240.33,3.3,53.64,0.29,1.51,1.74,Ames,45
240.33,0.62,90.12,0.2,0.64,1.26,Salinas,137
500.68,56.21,16.63,2.3,7.18,13.61,Phoenix,70
260.35,2.72,82.25,2.21,8.55,11.72,Laredo,118
410.56,41.47,53.64,2.33,12.27,14.85,Denver,51
253.68,11.82,80.82,1.58,5.27,12.24,Miramar,114
220.3,4.24,61.51,1.04,1.26,1.63,Saint Joseph,57
236.99,3.38,67.23,0.02,1.56,8.01,Surprise,75
333.79,8.57,50.78,0.27,11.28,13.52,Dothan,43
233.65,3.64,86.55,0.42,4.28,8.92,Cedar Park,128
300.41,13.02,52.93,0.41,2.28,2.97,Davis,44
297.07,5.44,101.57,1.21,12.46,16.34,Jackson,166
223.64,5.06,79.39,3.87,1.73,4.18,Manchester,110
270.37,7.8,80.82,1.07,2.21,2.81,Sacramento,114
353.81,15.94,32.19,0.22,16.88,20.23,Lawrence,52
594.14,77.46,8.58,3.13,10.7,17.39,Mesa,96
247.0,3.6,88.69,0.67,4.82,8.81,Killeen,134
267.03,6.26,40.77,0.06,1.18,2.18,Napa,34
277.04,10.97,68.67,0.79,2.91,4.57,Longmont,80
527.38,41.47,10.91,0.56,24.6,31.09,Lake Forest,68
420.57,38.73,62.94,4.77,16.51,18.61,Redlands,62
260.35,13.88,84.4,1.42,5.02,11.25,Pompano Beach,123
393.87,15.59,46.49,0.63,15.71,18.75,Warner Robins,50
277.04,4.28,71.53,0.44,9.37,13.37,Enterprise,89
467.3,45.93,27.18,2.65,7.64,9.61,Arden-Arcade,57
587.46,50.04,2.26,1.03,25.88,34.27,Naperville,70
330.45,21.94,65.09,1.31,5.21,7.07,Thornton,69
236.99,2.87,77.25,0.52,8.73,10.2,Lehigh Acres,105
453.95,63.06,15.74,3.1,9.11,15.09,West Covina,78
534.06,62.38,26.82,3.87,14.56,19.19,Quincy,77
273.71,2.87,94.41,1.07,14.72,17.73,Meridian,148
647.54,74.71,4.07,5.6,20.99,25.53,Philadelphia,93
236.99,2.61,98.71,0.21,4.39,19.32,Midland,159
186.92,0.38,38.62,0.24,1.37,2.0,Caguas,32
320.44,19.19,49.35,0.83,2.43,3.82,Fresno,41
367.17,33.59,50.78,1.86,3.46,7.81,Gilbert,43
243.66,4.07,75.82,3.87,4.18,9.6,Pharr,102
267.03,5.18,78.68,2.12,7.37,12.37,Kenner,109
303.75,13.2,68.67,2.27,4.84,5.87,Albany,80
494.0,57.58,34.69,3.73,12.08,18.76,Newton,71
423.91,28.79,55.79,1.09,8.99,11.23,New Haven,47
211.95,0.86,97.28,0.31,3.56,15.39,Amarillo,155
420.57,37.36,52.21,2.8,7.87,10.33,El Cajon,46
263.69,5.48,94.41,1.06,7.38,10.81,Flower Mound,148
283.72,5.48,98.71,3.1,13.2,14.64,Muncie,159
440.6,52.09,22.89,2.89,5.43,9.58,Torrance,65
247.0,3.98,74.39,0.56,4.75,9.38,Bossier City,98
433.92,39.07,47.21,2.3,16.82,21.86,Atlanta,52
250.34,5.36,52.21,0.0,0.5,0.75,Bend,44
210.29,1.5,100.14,0.72,1.83,4.22,Pueblo,162
313.76,25.36,75.82,5.9,4.38,6.38,Jurupa Valley,102
397.21,44.55,32.9,3.01,8.41,11.4,Fontana,55
303.75,13.2,68.67,2.27,4.84,5.87,Troy,80
277.04,11.82,82.97,2.44,5.12,9.46,Garland,119
447.27,43.53,44.7,3.28,19.25,24.86,Sandy Springs,57
240.33,0.52,90.12,0.18,0.5,0.72,Daly City,137
260.35,8.31,61.51,0.13,1.88,6.04,Tucson,57
410.56,40.44,8.76,56.27,7.81,11.53,Saint Petersburg,60
277.04,11.48,83.69,0.97,6.05,10.21,Hesperia,121
233.65,7.11,55.79,0.02,0.57,0.74,Reno,47
574.11,55.52,7.24,1.51,26.95,32.38,Arlington Heights,73
350.48,23.99,22.35,0.61,2.9,4.56,Mountain View,29
370.5,36.33,38.27,3.93,3.41,6.87,Walnut Creek,45
277.04,10.63,64.37,1.76,0.82,1.27,Renton,66
333.79,22.62,36.84,0.57,2.38,5.46,Redwood City,31
300.41,7.45,92.98,2.74,15.25,16.39,Fort Wayne,144
607.49,87.05,17.17,5.96,17.16,23.65,Baltimore,104
247.0,3.98,74.39,0.56,4.75,9.38,Shreveport,98
423.91,54.84,32.9,8.23,4.36,8.69,Newport Beach,68
720.98,83.63,0.53,6.8,12.03,19.01,Yorba Linda,102
330.45,30.5,61.51,5.42,7.32,9.27,Pomona,57
250.34,4.5,73.67,3.7,4.32,9.26,Mission,95
253.68,11.82,80.82,1.58,5.27,12.24,Hialeah,114
250.34,4.5,73.67,3.7,4.32,9.26,McAllen,95
327.11,9.51,114.44,5.42,21.28,24.11,Nashville,198
273.71,7.88,50.07,0.36,12.45,13.78,Auburn,42
303.75,9.0,86.55,3.01,19.8,21.7,Westland,128
253.68,10.88,82.25,11.09,6.08,9.63,Alexandria,118
240.33,11.65,80.11,1.61,4.52,11.13,Davie,112
310.42,18.68,37.55,0.37,2.63,5.21,Santa Clarita,31
240.33,0.52,90.12,0.18,0.5,0.72,San Francisco,137
230.31,3.21,77.25,5.84,4.2,9.32,Canton,105
393.87,25.71,28.97,0.32,3.87,5.32,Spokane Valley,32
467.3,32.56,16.81,0.31,22.36,26.33,Racine,63
400.54,25.36,52.93,1.39,19.16,24.95,Hammond,57
260.35,1.65,90.84,0.45,8.09,10.81,Gulfport,139
310.42,8.82,73.67,3.49,10.54,15.09,Memphis,95
367.17,14.22,31.47,0.36,18.97,22.17,Rockford,57
247.0,4.84,81.54,0.54,4.91,12.49,League City,116
290.39,11.48,78.68,1.88,3.63,4.7,Roseville,109
270.37,7.2,45.78,0.16,1.19,3.5,Simi Valley,38
263.69,6.0,41.84,0.05,1.12,2.1,Fairfield,35
307.08,15.25,62.94,2.53,5.32,6.51,Schenectady,62
216.96,3.81,60.08,0.89,2.0,2.71,Reading,53
343.8,18.34,39.34,0.34,12.75,14.32,Lynchburg,41
230.31,12.51,50.78,6.8,3.49,5.18,Westminster,43
300.41,10.97,77.96,6.68,18.1,19.88,Buffalo,107
387.19,30.5,45.78,1.68,5.82,8.04,Folsom,38
290.39,13.2,90.12,0.92,3.23,4.93,San Diego,137
283.72,6.34,86.55,3.25,16.6,18.56,South Bend,128
240.33,3.0,83.69,0.46,3.59,8.14,Waco,121
243.66,7.45,44.7,0.04,0.64,1.39,San Buenaventura,37
460.63,46.61,30.04,1.94,6.33,9.77,Alameda,58
383.85,21.25,26.82,0.16,17.38,19.66,Oshkosh,53
821.11,84.31,0.28,7.09,14.89,21.95,Whittier,102
507.36,52.78,36.84,4.05,13.04,17.48,Silver Spring,65
417.23,38.04,47.21,2.56,9.4,13.39,Gaithersburg,47
327.11,19.54,64.37,3.76,8.32,9.82,Columbus,66
330.45,16.28,75.1,4.17,13.91,16.4,Akron,100
260.35,6.94,94.41,0.9,5.36,11.5,West Palm Beach,148
410.56,26.39,30.4,1.67,23.43,25.16,Eau Claire,66
240.33,11.65,80.11,1.61,4.52,11.13,Lauderhill,112
473.98,43.18,36.48,2.56,26.89,32.47,Charlotte,72
310.42,8.14,72.24,0.92,14.57,16.3,Champaign,91
540.73,39.07,26.11,1.01,23.42,25.92,Cedar Rapids,66
307.08,3.98,39.7,2.41,2.67,7.87,Carmichael,33
263.69,4.07,67.95,0.81,7.38,11.27,North Little Rock,77
433.92,54.15,31.83,4.05,11.56,13.19,Provo,67
393.87,28.79,33.62,0.64,19.44,23.08,High Point,58
257.02,3.73,72.24,0.98,6.97,10.02,Fort Smith,91
250.34,1.99,86.55,72.48,5.33,6.0,Syracuse,128
263.69,1.82,49.35,0.21,2.68,3.99,German,41
260.35,4.88,97.28,1.1,8.38,11.66,Denton,155
236.99,2.12,86.55,0.02,1.16,5.94,North Las Vegas,128
397.21,22.62,29.68,0.14,15.85,19.1,Waukesha,50
230.31,2.38,85.83,0.38,4.06,9.79,New Braunfels,127
1615.52,91.85,0.0,4.35,76.33,88.55,Saint Paul,156
580.79,66.49,1.86,1.65,22.81,23.5,Layton,83
427.25,26.05,55.79,1.4,26.22,30.0,Columbia,71
247.0,1.93,82.25,0.26,5.73,10.77,Lafayette,118
280.38,12.17,68.67,1.16,1.2,3.05,Palo Alto,80
230.31,3.13,85.12,0.97,1.66,3.29,Warwick,125
240.33,11.65,80.11,1.61,4.52,11.13,Pembroke Pines,112
440.6,52.09,22.89,2.89,5.43,9.58,Redondo Beach,65
357.15,28.45,49.35,1.37,3.42,10.8,Mission Viejo,41
293.73,7.88,70.1,1.27,13.79,16.07,Edmond,84
383.85,22.62,19.13,0.29,15.64,16.86,Fargo,50
287.06,5.4,114.44,3.93,16.32,18.63,Franklin,198
347.14,20.39,75.1,4.05,21.25,24.72,Livonia,100
310.42,12.17,87.98,4.65,12.93,15.47,Carmel,132
300.41,8.05,79.39,0.98,8.3,12.83,Metairie,110
1161.58,122.01,0.0,20.27,52.32,70.51,Paterson,123
280.38,4.33,98.71,3.58,11.84,13.69,Bloomington,159
320.44,13.88,49.35,0.18,2.04,3.2,Nampa,41
297.07,3.34,104.43,1.94,13.31,15.16,Clarksville,173
554.09,64.43,0.67,3.87,19.17,21.15,Sandy,80
380.52,14.91,37.55,0.26,17.2,19.62,Tallahassee,53
287.06,7.88,72.24,2.83,10.09,11.51,The Villages,91
243.66,6.68,70.1,0.4,1.65,3.02,Palmdale,84
283.72,8.48,67.95,1.57,14.76,20.5,Athens-Clarke County unified government,77
547.41,63.06,9.84,1.91,6.63,11.7,Chandler,78
247.0,7.11,45.06,0.2,12.54,16.73,San Ramon,40
287.06,14.05,55.08,0.07,1.88,7.69,Avondale,46
1108.17,89.11,0.0,2.65,47.44,64.14,Chicago,114
423.91,54.84,32.9,8.23,4.36,8.69,Huntington Beach,68
190.26,0.39,42.92,0.31,1.41,2.08,Carolina,36
327.11,13.54,85.83,1.48,11.84,14.7,Largo,127
417.23,44.55,21.64,1.71,4.67,8.35,Fremont,55
640.87,51.41,0.29,0.94,25.66,30.41,Spring Hill,70
240.33,6.17,86.55,1.06,0.65,0.98,Greeley,128
267.03,9.34,75.82,1.24,1.03,1.73,San Jose,102
320.44,18.17,40.77,1.42,1.65,2.63,Kirkland,34
654.22,65.12,0.15,0.86,18.86,25.3,Raleigh,81
280.38,12.17,68.67,1.16,1.2,3.05,Union City,80
260.35,5.27,97.28,0.82,1.55,3.59,Norfolk,155
260.35,2.74,60.08,1.7,8.4,13.73,Santa Maria,53
423.91,54.84,32.9,8.23,4.36,8.69,Garden Grove,68
660.9,91.85,0.15,3.87,19.86,42.17,New Rochelle,106
313.76,17.14,69.38,0.75,4.41,6.41,Arvada,82
333.79,17.65,31.47,0.91,10.54,12.61,North Charleston,34
383.85,21.25,50.07,1.33,25.28,28.82,Grand Rapids,69
647.54,47.3,1.07,1.48,34.62,42.93,Apple Valley,88
236.99,1.52,89.41,0.75,6.45,12.56,Tyler,136
487.33,66.49,14.31,5.42,7.66,12.07,Chino Hills,83
226.97,1.26,78.68,0.17,4.28,11.54,College Station,109
500.68,59.63,25.75,2.56,11.35,17.62,Glen Burnie,74
257.02,4.54,97.28,0.87,7.03,10.47,Fort Worth,155
534.06,62.38,26.82,3.87,14.56,19.19,Boston,77
260.35,13.88,84.4,1.42,5.02,11.25,Deerfield Beach,123
277.04,11.65,84.4,2.53,5.62,9.76,Allen,123
240.33,3.26,77.96,0.67,4.84,13.23,Sugar Land,107
423.91,54.84,32.9,8.23,4.36,8.69,Costa Mesa,68
243.66,4.37,85.83,1.45,4.34,8.97,Mesquite,127
196.93,1.0,89.41,0.08,2.36,12.0,Santa Fe,136
297.07,4.71,103.0,1.79,14.22,17.67,Huntsville,170
243.66,4.93,80.82,0.72,3.84,9.45,Austin,114
220.3,0.56,70.81,0.29,1.31,1.85,Mayagüez,86
